,title,date,company,location,salary,description
0,data analyst / administration manager,13 Feb 2021,FRHP Holdings Pty Ltd,Sydney,50000.0,"pace farms is a second generation family business in sydney's west, built from the ground up and one of australia's most recognised names in egg production and supply. this opportunity is within pace farms transport division - mwp transport.

growth and business development has created an opportunity for a dynamic, experienced transport administrator, with the ability and desire to learn new skills from experienced data analysts and developers and at the same time, administer all aspects of our nhvl compliance."
1,business performance analyst - nswnjp00001784 x 2 ,15 Feb 2021,Oceans Group,Sydney,50000.0,"job title - business performance analyst, pay rate: $650 p/d + super , location: sydney cbd, contract duration - 6 months initial , , , work with the program stakeholders and undertake data analysis in order to drive the effective monitoring and management of the review and remediation program. help in identifying emerging issues/ trends, troubleshoot and provide strategic advice supported by analytics to assist in decision-making., reviewing data quality across the systems / insurers and providing constructive feedback on work required to remediate. overseeing the quality of data on the nominal insurer single platform and supporting the business in the refinement of processes and practices., , ,:,please apply via the link below or contact scott aitken via linkedin for an intro , ,https://www.linkedin.com/in/scott-aitken-4037405b/"
2,start your new career as a data analyst,15 Feb 2021,The Data School Pty Ltd,Sydney,57999.5,"the demand for great , and , has never been higher than it is today. there simply aren't enough to fill the positions being advertised., is creating the next generation of first-class data analysts and data scientists.,if you are passionate about data, we have the best way to get you into your new data career.,the successful applicants will be immersed into 4 months of intensive classroom training based on the market-leading technologies, ,and ,. ,in addition, you will be trained by our team of experts in all the soft skills needed to become an outstanding consultant.,the classroom training is followed by four 6-month client engagements with australia's leading organisations to give you real-world experience to kick-start your new career.,yes. the data school offers you a competitive salary while you study and gain valuable industry experience.,the data school takes new consultants three times each year. the starting dates for each round is april, august and november.,the applications for the august 2021 intake close on the ,become a guru in tableau, the market-leading data visualisation technology,  ,  ,here at the data school, we don’t look at what’s on your cv or your experience. what we ,looking for is:,we do things differently and we’re proud of it. so forget about the application process you might be used to.,here’s how the process works:,we are taking applications at all times. if you share the same inquisitive nature, have a passion for getting to the truth by way of data, then we’d love to hear from you!"
3,start your new career as a data analyst,15 Feb 2021,The Data School Pty Ltd,Melbourne,57999.5,"the demand for great , and , has never been higher than it is today. there simply aren't enough to fill the positions being advertised., is creating the next generation of first-class data analysts and data scientists.,if you are passionate about data, we have the best way to get you into your new data career.,the successful applicants will be immersed into 4 months of intensive classroom training based on the market-leading technologies, ,and ,. ,in addition, you will be trained by our team of experts in all the soft skills needed to become an outstanding consultant.,the classroom training is followed by four 6-month client engagements with australia's leading organisations to give you real-world experience to kick-start your new career.,yes. the data school offers you a competitive salary while you study and gain valuable industry experience.,the data school takes new consultants three times each year. the starting dates for each round in melbourne is,the applications for the june 2021 intake close on the,become a guru in tableau, the market-leading data visualisation technology,  ,we’re sorry – we can’t sponsor you, so make sure you have full working rights for australia,  ,here at the data school, we don’t look at what’s on your cv or your experience. what we ,looking for is:,we do things differently and we’re proud of it. so forget about the application process you might be used to.,here’s how the process works:,we are taking applications at all times. if you share the same inquisitive nature, have a passion for getting to the truth by way of data, then we’d love to hear from you!"
4,data analyst,9 Feb 2021,IPA SE Melbourne,Melbourne,50000.0," ,the successful applicant will be working with our client who is a leading distributor of electrical, industrial and safety products. this newly created temp role is for a data analyst for 4-6 weeks for an asap start as they are looking to move to a supply chain central model.,ideally you will have:,if this sounds like the role for you and you can commence asap please apply on line now."
5,data analyst,8 Feb 2021,Modis,ACT,50000.0,"one of our government client in , seeks the services of a ,for a ,our client has developed a data management strategy (dms) and implementation roadmap. developing the dms has identified the need for a comprehensive and fit-for-purpose data and information governance framework.,due to new privacy laws regarding the collection and handling of personal information, all applications must be submitted online. once you click on the , button below you will be directed to our online centre where you will have the opportunity to read and agree to our privacy and collection statements and it will allow your details to be formally lodged and processed correctly.,alternatively, if you would like more information on the role, please contact ankit on ,via email on ,is a national professional services company with global capability. our committed and talented professionals have delivered world class it and business consulting services across a wide range of industries. as a member of global professional services group adecco, we offer world-class employment opportunities."
6,junior analyst,15 Feb 2021,Godfrey Remuneration Group Pty Ltd,Sydney,50000.0,"grg is seeking an junior analyst to join the team. the right person will have strong attention to detail, exposure to ms excel and ms word and likes working in a team environment. ,the role will report into a director, with a key focus on data extraction, data entry and analysis. the successful candidate will receive training and be mentored.,godfrey remuneration group (grg) is a leading management consultancy firm located in north sydney which has been in operation for over 20 years. grg provides independent specialist advice to corporate clients in relation to non-executive director and top executive remuneration practices. grg's clients include the top asx listed companies and large scale private companies.,there is an opportunity to grow within the business and through further training. ,no applications from recruitment agencies please. "
7,data & reporting analyst,2 Feb 2021,Lumi Financial Management Pty. Limited,Sydney,50000.0,"about us,we are lumi, a bondi-based fintech lender, dedicated to serving the needs of australian smes. our focus is to provide an exceptional level of customer service to businesses in all sectors across the whole of australia. our mission is to empower small businesses to grow through access to capital that has historically been hard to access.,we pride ourselves on our commitment to both our clients and our people. we encourage and support our team members in extending themselves beyond their role, advancing their careers, and lumi's goals.,lumi's work environment is dynamic with a highly engaged team of ambitious professionals seeking to make lumi a major player in our industry. we have the funding and ability to generate exponential growth in our business, and we are hiring exceptional team members to help us achieve this goal.,the role,in your role as a data & reporting analyst, you will enhance lumi's loan performance and application data by developing, running, and maintaining data pipelines. in addition, you will work on reporting, data governance, and ad hoc investigations.,in this hands-on data role, you will be expected to identify, understand, and document business problems and develop sustainable, scalable, data-driven solutions that leverage lumi's cloud-based data and technology ecosystem (aws, databricks, mode analytics). ,while you will be supported by our capable technology and analytics team members, you will primarily partner with our finance and risk functions and will need to become an expert in lumi's data to be able to support their needs. ,lumi is an agile fast-growing business, and an ability to think on your feet and be flexible in managing your workload is a must. ,this role will provide a fantastic opportunity to leverage your data and analytics experience into a role that gives you access to business and financial services subject matter experts to become a core contributor to a rising star in the small business lending market. ,about you,you are a data, analytics, or software development professional with at least 3 years’ experience looking to take the next step in your career by moving into a business facing role. this role will require you to be proactive in your approach, effectively manage a dynamic workload, and collaborate extensively within a small highly skilled team. ,you are:"
8,data analyst,12 Feb 2021,Peoplebank Australia ACT,ACT,50000.0," , ,the services comprise developing a process of transforming the data received from customs into a reliable dataset for producing regular statistics and informing policy decisions, with a particular focus on movements between the ports and final origins/destinations within australia, and commodities moved through ports in containers. , , , , , for more information or a confidential discussion, please contact abegail baniqued on , quoting reference 209692., , to apply please click the 'apply now' button., "
9,reporting analyst - data services support,12 Feb 2021,HUB24 Management Services Pty Ltd,Brisbane,50000.0,"this is an important new role in our specialist data services team at hub24:,you'll start off responding to client requests for reporting services through a ticketing system. as this role evolves, you'll have the opportunity to broaden your responsibilities and technical skills. as such, this is a great development opportunity for the right individual. ,some financial services experience is highly regarded. ,as the reporting expert, you’ll provide troubleshooting and support for existing reports, and extracts. you’ll develop and maintain database driven solutions (including, but not limited to, sql, ssrs, ssis and powershell) to represent data effectively to internal and external clients.,hub24 manage work via a ticketing system: you’ll be responding to client requests to understand and determine business requirements, develop these into technical specifications and implement into effective solutions.,this role is also responsible for accurately maintaining system documentation, including change requests, technical and user guides, problem and resolution knowledge databases and documentation produced during the system life cycle.,hub24 was established in 2007 by a team with a very strong track record of delivering market-leading platform solutions in the financial services industry. hub24’s award-winning platform solution continues to be recognised across the industry for value for money and customer experience, providing advisers with the technology to efficiently manage and add value to their clients. hub24 limited is a company listed on the australian securities exchange.,this position reports into our reporting team lead and is part of our talented data services team who are also based in brisbane.,this role is not just about reporting on data, but truly understanding what it this represents and communicating this with confidence to internal stakeholders & clients. you’ll need to have as a minimum:,experience in the following is desirable, but not mandatory:,it would be ideal if you have experience in the financial services industry and/or capital markets technology, however we’d still be keen to see applications outside our industry with the right technical sql capability, communication skills and aptitude for reporting. , "
10,data analyst,9 Feb 2021,Hays Banking,Melbourne,50000.0,"hays is proud to be supporting nab in the recruitment process of data analyst. apply now!!, , , to be successful with nab you will go above and beyond to achieve great results for the customer, the company and yourself. nab is passionate about diversity and inclusion and will guarantee you are a valued member of their community. nab's core values include, passion for customers, will to win, be bold, respect for people, and doing the right thing., , , to provide support to operations teams ensuring nab meets its obligations in relation to :, , , , , , in exchange for your commitment, you will be offered :, , , , if you're interested in this role, click 'apply now' to forward an up-to-date copy of your cv to , , or call us now., , , , lhs 297508"
